EloDiff,HomeWinProb,DrawProb,AwayWinProb,MostLikelyResult
-500,0.015,0.092,0.893,Away Win
-450,0.023,0.109,0.868,Away Win
-400,0.034,0.129,0.837,Away Win
-350,0.050,0.151,0.799,Away Win
-300,0.073,0.174,0.753,Away Win
-250,0.105,0.197,0.698,Away Win
-200,0.148,0.219,0.633,Away Win
-150,0.202,0.237,0.560,Away Win
-100,0.269,0.250,0.482,Away Win
-50,0.346,0.254,0.400,Away Win
0,0.429,0.250,0.321,Home Win
50,0.514,0.237,0.249,Home Win
100,0.596,0.217,0.186,Home Win
150,0.671,0.193,0.136,Home Win
200,0.736,0.168,0.096,Home Win
250,0.791,0.143,0.067,Home Win
300,0.835,0.119,0.046,Home Win
350,0.871,0.098,0.031,Home Win
400,0.899,0.080,0.020,Home Win
450,0.921,0.065,0.014,Home Win
500,0.939,0.052,0.009,Home Win
